Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,playerid,MLBAMID
Brent Headrick,MIN,3,0,1,14,0,25.2,10.51948156,3.506493854,2.454545698,0.303030303,0.73717949,0.180555555,0.155555555,91.78452394,6.311688937,5.41,6.099196485,5.452475471,-0.299022585,Brent Headrick,27702,687396
AJ Smith-Shawver,ATL,1,0,0,6,5,25.1,7.105263782,3.90789508,2.486842324,0.151515152,0.78125,0.369863013,0.175,94.62169962,4.263158269,3.79,6.689251187,5.707701239,-0.303898085,AJ Smith-Shawver,29960,700363
Cooper Criswell,TBR,1,1,0,10,0,33,7.363636364,3,1.636363636,0.330097087,0.68669528,0.444444444,0.193548387,,5.727272727,5.16,5.34594945,4.535461704,-0.307031602,Cooper Criswell,24975,681867
Bryan Hoeing,MIA,2,3,0,33,7,70.2,6.750000607,3.183962551,1.655660526,0.274881517,0.6641604,0.450892857,0.15116279,93.96354328,5.476415587,5.3,5.292776392,4.913364813,-0.310023636,Bryan Hoeing,26304,663773
Declan Cronin,CHW,0,1,0,9,0,11,6.545455113,5.727273224,2.454545667,0.258064516,0.50632911,0.558823529,0.333333333,,9.00000078,7.21,7.800495299,5.607782908,-0.310519576,Declan Cronin,25645,686539
Collin Snider,KCR,0,0,1,20,1,20.1,4.86885322,5.75409926,1.32786906,0.308823529,0.76219512,0.528571428,0.166666666,95.85170201,4.86885322,5.41,6.009139151,5.554729157,-0.316020191,Collin Snider,23307,676092
Devin Smeltzer,MIA,0,1,0,9,1,22.1,6.447761561,1.61194039,2.820895683,0.31884058,0.69852941,0.342105263,0.2,89.35779139,6.447761561,7.73,6.971458482,5.487905176,-0.316916212,Devin Smeltzer,19487,656970
Dinelson Lamet,- - -,1,4,0,17,4,27.2,10.40963915,7.481928141,2.277108565,0.426829268,0.49822064,0.426966292,0.2,95.08845467,11.71084405,6.2,6.833353818,5.635786691,-0.317511939,Dinelson Lamet,17186,659275
Javy Guerra,- - -,0,0,0,17,2,19.1,6.517242129,10.24138049,0.93103459,0.263157895,0.73298429,0.379310344,0.086956521,98.00808548,6.051724834,7.3,6.875730431,7.497821383,-0.320886523,Javy Guerra,17292,642770
Ryan Tepera,- - -,2,2,0,12,0,10.2,9.281253043,3.375001106,2.53125083,0.416666667,0.67307692,0.459459459,0.2,91.73753043,7.593752489,5.16,6.817541527,5.486316995,-0.321665123,Ryan Tepera,10291,572193
