playerid,Name_x,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV,Name_y,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,MLBAMID
13338,Omar Narváez,C,L,R,NYM,33,7.2,-1.0,0.0,,$0,,,CHW,1.0,$0,,Omar Narváez,NYM,28,69,0,4,5,0,0.04347826,0.173913043,0.030769231,0.188679245,0.153846153,0.19117647,0.184615384,0.171028972548597,0.2,8.29443649315023,-0.1320076063275337,-7.698699649189834,-4.184684634208679,-0.9899805846988788,Omar Narvaez,553882
15674,Reese McGuire,C,L,R,BOS,30,4.2,0.2,0.2,,$0,,,,,,,Reese McGuire,BOS,53,158,3,10,18,3,0.082278481,0.246835443,0.086330935,0.26,0.208633093,0.280254777,0.294964028,0.2585388627021935,0.282,59.85663237673645,-0.2520269453525543,-7.509350686912509,3.792526602745056,0.1600999839490238,Reese McGuire,624512
13755,Tomás Nido,C,R,R,CHC,31,5.1,0.1,0.0,,$0,,,DET,1.0,$0,,Tomás Nido,- - -,49,140,4,14,12,0,0.035714285,0.25,0.123076923,0.225806451,0.192307692,0.218978102,0.315384615,0.2310289388155415,0.282,48.37099438813346,-0.6269480586051941,-9.27031758406548,5.977683834731579,0.1414394931133121,Tomas Nido,621512
7739,Travis d'Arnaud,C,R,R,ATL,36,11.0,1.8,1.3,1.0,"$7,000,000","$7,000,000",,LAA,2.0,"$12,000,000","$6,000,000",Travis d'Arnaud,ATL,99,341,15,40,48,1,0.070381231,0.260997067,0.198697068,0.280193236,0.237785016,0.302052785,0.436482084,0.3187901582186522,0.322,103.04128384158486,-1.2153204530477524,0.0248249789373695,6.44414883852005,1.8408857415357485,Travis d'Arnaud,518595
10200,Tucker Barnhart,C,L,R,ARI,34,9.1,-0.4,0.0,,$0,,,TEX,1.0,$0,,Tucker Barnhart,ARI,31,96,0,13,6,1,0.135416666,0.322916666,0.037037037,0.28,0.172839506,0.287234042,0.209876543,0.2385197408655856,0.24,48.571955022664675,0.1013063713908195,-5.802505805855752,-1.6809714436531067,-0.442708381273495,Tucker Barnhart,571466
9627,Yan Gomes,C,R,R,CHC,37,11.2,-1.2,0.0,,$0,,,,,,,Yan Gomes,CHC,34,96,2,7,7,0,0.020833333,0.375,0.087912088,0.222222222,0.153846153,0.178947368,0.241758241,0.1844597371000992,0.259,16.366165810684834,-0.0728107057511806,-9.673767711491962,-4.958929777145386,-1.181063615889444,Yan Gomes,543228
11368,Yasmani Grandal,C,S,R,PIT,36,12.1,1.4,1.2,,$0,,,,,,,Yasmani Grandal,PIT,72,243,9,26,27,1,0.098765432,0.189300411,0.172093024,0.248447204,0.227906976,0.304166666,0.4,0.3082559163371722,0.325,94.55716031808828,-1.0636751055717468,-2.645262155843668,7.68866491317749,1.3566093373063233,Yasmani Grandal,518735
11442,Gary Sánchez,C/DH,R,R,MIL,32,8.1,0.3,0.8,,$0,,,BAL,1.0,"$8,500,000","$8,500,000",Gary Sánchez,MIL,89,280,11,30,37,0,0.096428571,0.271428571,0.171428571,0.267080745,0.220408163,0.307142857,0.391836734,0.3070861337440354,0.309,95.98447169465314,-1.299427904188633,-2.643931621497531,-3.3538237661123276,0.343555903161663,Gary Sanchez,596142
18030,Harrison Bader,CF,R,R,NYM,31,7.0,1.3,1.1,1.0,"$10,000,000","$10,000,000",,,,,,Harrison Bader,NYM,143,437,12,57,51,17,0.048054919,0.217391304,0.136815921,0.275747508,0.236318407,0.28375286,0.373134328,0.2853290042199126,0.294,85.22619263496502,-1.653030350804329,-9.37334771135856,7.653524041175842,1.325333487436162,Harrison Bader,664056
11489,Michael A. Taylor,CF,R,R,PIT,34,9.1,0.4,0.2,1.0,"$4,000,000","$4,000,000",,,,,,Michael A. Taylor,PIT,113,300,5,35,21,12,0.076666666,0.35,0.096654275,0.288343558,0.19330855,0.253378378,0.289962825,0.2418962217666007,0.27,49.89253717057174,2.612010031938553,-15.363654398436967,9.555437326431274,0.4319160230822781,Michael A. Taylor,572191
