playerid,Name_x,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV,Name_y,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,MLBAMID
14527,Jorge López,RP,R,R,CHC,32,6.1,0.2,0.2,,$0,,,WSN,1.0,"$3,000,000","$3,000,000",Jorge López,- - -,2,3,4,52,0,53.0,8.49056725996014,3.2264155587848533,1.0188680711952167,0.2857142857142857,0.81911263,0.51048951,0.115384615,95.84607015520136,2.886792868386447,3.59,3.940064795308386,3.951846629523958,0.1961595043540001,Jorge Lopez,605347
6399,José Cisnero,RP,R,R,LAA,36,6.2,-0.2,0.1,,$0,,,,,,,José Cisnero,LAA,0,0,0,15,0,15.2,9.76595962657433,4.595745706623215,2.2978728533116075,0.3255813953488372,0.58035714,0.413043478,0.222222222,95.58019649621212,6.893618559934822,6.17,6.2303102493719384,4.648362107684371,-0.2397737205028534,Jose Cisnero,542585
14524,José Leclerc,RP,R,R,TEX,31,8.0,0.8,0.2,2.0,"$12,000,000","$6,000,000",,ATH,1.0,"$10,000,000","$10,000,000",José Leclerc,TEX,6,5,1,64,0,66.2,12.015001833343783,4.320000659179788,0.9450001441955788,0.3141025641025641,0.71776156,0.352201257,0.102941176,95.58239483890216,4.320000659179788,3.59,3.481479826354988,3.658728427747282,0.8326812982559204,Jose Leclerc,600917
18335,Josh Staumont,RP,R,R,MIN,31,5.0,0.2,0.0,,$0,,,,,,,Josh Staumont,MIN,1,0,0,25,0,24.1,6.657535116317843,5.178082868247211,0.0,0.2463768115942029,0.625,0.470588235,0.0,94.06817267922794,3.698630620176579,4.37,3.536342840307453,5.027638997431875,0.2173513174057006,Josh Staumont,622251
13767,JT Chargois,RP,S,R,SEA,34,5.1,-0.2,0.1,,$0,,,,,,,JT Chargois,- - -,3,1,0,36,0,36.1,7.431194090941806,3.2201841060747824,1.486238818188361,0.1894736842105263,0.98039216,0.366336633,0.136363636,94.80777316623264,2.2293582272825416,4.4,4.900425066176217,4.584692066148183,-0.195239782333374,JT Chargois,608638
4301,Justin Wilson,RP,L,L,CIN,37,12.0,0.2,0.5,,$0,,,BOS,1.0,"$2,250,000","$2,250,000",Justin Wilson,CIN,1,5,2,60,0,46.2,9.83571642973032,2.5071434036567477,1.9285718489667292,0.3383458646616541,0.71428571,0.382978723,0.158730158,95.62091796875,5.592858362003514,4.25,4.730765833562809,3.9862627339592462,0.1507659405469894,Justin Wilson,458677
3096,Kenley Jansen,RP,S,R,BOS,37,14.1,1.4,0.4,1.0,"$12,000,000","$12,000,000",,,,,,Kenley Jansen,BOS,4,2,27,54,0,54.2,10.207317548022273,3.2926830800071847,0.658536616001437,0.2595419847328244,0.73033708,0.305970149,0.055555555,,3.2926830800071847,3.24,3.001845624289436,4.042051866241064,1.42104971408844,Kenley Jansen,445276
9073,Kirby Yates,RP,L,R,TEX,38,10.0,1.9,0.4,1.0,"$9,000,000","$9,000,000",,,,,,Kirby Yates,TEX,7,2,33,61,0,61.2,12.405406684401918,4.086486907802985,0.4378378829788912,0.1680672268907563,0.88114754,0.454545454,0.058823529,93.3921148838141,1.16756768794371,1.86,2.5016148448774045,3.1196542932023377,1.9192548990249632,Kirby Yates,489446
15009,Kyle Finnegan,RP,R,R,WSN,33,5.0,0.0,0.3,,$0,,,,,,,Kyle Finnegan,WSN,3,8,38,65,0,63.2,8.481676239660397,3.392670495864159,1.2722514359490595,0.2921348314606741,0.74585635,0.459459459,0.152542372,97.38644244105409,3.675393037186172,4.34,4.250249520024179,3.813733706282776,-0.0144160222262144,Kyle Finnegan,640448
13470,Lucas Sims,RP,R,R,BOS,31,6.0,-0.3,0.0,,$0,,,,,,,Lucas Sims,- - -,1,6,1,58,0,49.1,8.939191320458482,5.472974277831724,1.459459807421793,0.2619047619047619,0.79288026,0.28030303,0.111111111,94.43479322350544,4.378379422265379,4.34,5.234047838804002,5.332654725448332,-0.2909858897328377,Lucas Sims,608371
