Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,playerid,MLBAMID
Christian Walker,ARI,157,661,33,86,103,11,0.093797276,0.192133131,0.238831615,0.272093023,0.257731958,0.333333333,0.496563573,0.351042654,0.339,119.2273632,1.195648951,16.94053951,-0.789093018,3.850097293,Christian Walker,13419,572233
Michael Harris II,ATL,138,539,18,76,57,20,0.046382189,0.187384044,0.184158416,0.334190231,0.293069306,0.330855018,0.477227722,0.344719907,0.357,115.4329263,4.991027392,15.2962056,4.671524763,3.817302838,Michael Harris II,25931,671739
Andrés Giménez,CLE,153,616,15,76,62,30,0.051948051,0.181818181,0.147217235,0.288683602,0.251346499,0.31372549,0.398563734,0.309137131,0.297,96.26601302,4.138958107,1.382914472,15.65649486,3.809171371,Andres Gimenez,19950,665926
Christian Yelich,MIL,144,632,19,106,76,28,0.123417721,0.221518987,0.169090909,0.341836734,0.278181818,0.370253164,0.447272727,0.353428518,0.362,122.0962802,7.271646914,24.57198954,-8.057132006,3.788081655,Christian Yelich,11477,592885
Nolan Jones,COL,106,424,20,60,62,20,0.125,0.297169811,0.245231608,0.4009009,0.297002724,0.389150943,0.542234332,0.394995491,0.362,137.1602913,2.061836677,21.58110003,1.619935513,3.750091708,Nolan Jones,20529,666134
Gleyber Torres,NYY,158,672,25,90,68,13,0.09970238,0.145833333,0.179530202,0.288100208,0.273489932,0.34672619,0.453020134,0.345510278,0.362,120.2340905,-1.253767761,15.03865009,-2.340484619,3.568095565,Gleyber Torres,16997,650402
Brandon Marsh,PHI,133,472,12,58,60,10,0.125,0.305084745,0.18069307,0.396825396,0.277227722,0.371549893,0.457920792,0.35825564,0.322,125.113699,2.697985617,17.38289064,2.087522238,3.540710776,Brandon Marsh,20202,669016
Bryce Harper,PHI,126,546,21,84,72,11,0.146520146,0.217948717,0.205689278,0.352024922,0.29321663,0.401098901,0.498905908,0.384218469,0.399,142.5187689,-0.304125505,28.45606655,-11.53859615,3.536855036,Bryce Harper,11579,547180
Josh Lowe,TBR,135,501,20,71,83,32,0.061876247,0.24750499,0.208154507,0.356923076,0.291845493,0.335329341,0.5,0.354020919,0.341,130.1677897,4.791004443,22.90081034,-4.988354325,3.502308847,Josh Lowe,19953,666139
Eugenio Suárez,SEA,162,694,22,68,96,2,0.100864553,0.308357348,0.158862876,0.313672922,0.232441471,0.32276657,0.391304347,0.313293505,0.324,104.2555828,-2.435162816,1.10359708,10.07727003,3.492153079,Eugenio Suarez,12552,553993
Thairo Estrada,SFG,120,530,14,63,49,23,0.041509433,0.226415094,0.145454546,0.330578512,0.27070707,0.315094339,0.416161616,0.316306715,0.292,99.56218817,1.870705387,1.583242475,15.39861631,3.489066539,Thairo Estrada,16426,642731
Ian Happ,CHC,158,691,21,86,84,14,0.143270622,0.221418234,0.18275862,0.298543689,0.248275862,0.360347322,0.431034482,0.345260989,0.35,119.554342,1.165875799,17.90526904,-7.214223944,3.407241858,Ian Happ,17919,664023
